program,year,period,weekending,geolevel,state,stateansi,agdistrict,agdistrictcode,county,countyansi,zipcode,region,watershed_code,watershed,commodity,dataitem,domain,domaincategory,value,cv
SURVEY,2007,MARKETING YEAR,,STATE,ALASKA,2,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.6500001,
SURVEY,2007,MARKETING YEAR,,STATE,ARIZONA,4,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4,
SURVEY,2007,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.52,
SURVEY,2007,MARKETING YEAR,,STATE,COLORADO,8,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.51,
SURVEY,2007,MARKETING YEAR,,STATE,DELAWARE,10,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.49,
SURVEY,2007,MARKETING YEAR,,STATE,IDAHO,16,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.02,
SURVEY,2007,MARKETING YEAR,,STATE,KANSAS,20,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.6500001,
SURVEY,2007,MARKETING YEAR,,STATE,KENTUCKY,21,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.8499999,
SURVEY,2007,MARKETING YEAR,,STATE,MAINE,23,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.9400001,
SURVEY,2007,MARKETING YEAR,,STATE,MARYLAND,24,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.7,
SURVEY,2007,MARKETING YEAR,,STATE,MICHIGAN,26,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.5,
SURVEY,2007,MARKETING YEAR,,STATE,MINNESOTA,27,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.8,
SURVEY,2007,MARKETING YEAR,,STATE,MONTANA,30,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.1399999,
SURVEY,2007,MARKETING YEAR,,STATE,NEVADA,32,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4,
SURVEY,2007,MARKETING YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.7,
SURVEY,2007,MARKETING YEAR,,STATE,NEW YORK,36,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.76,
SURVEY,2007,MARKETING YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.6500001,
SURVEY,2007,MARKETING YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.9100001,
SURVEY,2007,MARKETING YEAR,,STATE,OHIO,39,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.0999999,
SURVEY,2007,MARKETING YEAR,,STATE,OREGON,41,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.1100001,
SURVEY,2007,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.9000001,
SURVEY,2007,MARKETING YEAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.5500002,
SURVEY,2007,MARKETING YEAR,,STATE,UTAH,49,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.99,
SURVEY,2007,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.76,
SURVEY,2007,MARKETING YEAR,,STATE,WASHINGTON,53,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.0799999,
SURVEY,2007,MARKETING YEAR,,STATE,WISCONSIN,55,,,,,,,0,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.7,
